,name,team,position,total_points,minutes,goals_scored,assists,clean_sheets,saves,penalties_saved,penalties_missed,goals_conceded,own_goals,yellow_cards,red_cards,value,PV-ratio
0,Erling Haaland,Man City,FWD,189,1950,27,4,7,0,0,0,23,0,4,0,122,1.5491803278688525
1,Harry Kane,Spurs,FWD,157,2236,17,6,9,0,0,1,36,0,4,0,118,1.3305084745762712
2,Marcus Rashford,Man Utd,MID,156,1999,15,4,9,0,0,0,25,0,3,0,73,2.136986301369863
3,Kieran Trippier,Newcastle,DEF,154,2107,1,5,15,0,0,0,13,0,6,0,61,2.5245901639344264
4,Martin Ødegaard,Arsenal,MID,144,1954,9,8,8,0,0,0,24,0,3,0,70,2.057142857142857
5,Bukayo Saka,Arsenal,MID,138,2074,10,9,8,0,0,0,25,0,6,0,84,1.6428571428571428
6,Ivan Toney,Brentford,FWD,134,1971,15,4,9,0,0,0,27,0,8,0,77,1.7402597402597402
7,Miguel Almirón Rejala,Newcastle,MID,128,1962,10,2,14,0,0,0,13,0,2,0,56,2.2857142857142856
8,Kevin De Bruyne,Man City,MID,126,1950,4,13,7,0,0,0,20,0,2,0,124,1.0161290322580645
9,Mohamed Salah,Liverpool,MID,124,2046,8,6,7,0,0,0,28,0,0,0,126,0.9841269841269841
10,Gabriel Martinelli Silva,Arsenal,MID,124,1915,9,6,10,0,0,0,20,0,2,0,65,1.9076923076923078
11,Bruno Borges Fernandes,Man Utd,MID,120,2159,5,8,11,0,0,0,25,0,5,0,99,1.2121212121212122
12,David Raya Martin,Brentford,GK,116,2160,0,0,9,105,0,0,30,0,1,0,47,2.4680851063829787
13,Nick Pope,Newcastle,GK,111,2091,0,0,13,55,0,0,15,0,3,1,55,2.018181818181818
14,Fabian Schär,Newcastle,DEF,108,2054,1,0,14,0,0,0,12,0,4,0,52,2.076923076923077
15,Solly March,Brighton,MID,106,1975,5,6,7,0,0,0,32,0,3,0,51,2.0784313725490198
16,David De Gea Quintana,Man Utd,GK,104,2250,0,0,11,69,0,0,28,0,0,0,50,2.08
17,Pascal Groß,Brighton,MID,103,2002,6,4,6,0,0,0,33,0,2,0,55,1.8727272727272728
