,name,team,position,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,opponent_team,opponent_strength
0,Granit Xhaka,ARS,MID,3,1,7,2,0,2022-08-05T19:00:00Z,0,2,1,90,0,0,1,0,0,0,0,1,0,0,0,12,16.6,15.0,2.0,3.4,1,0.00,0.06,0.06,1.21,50,0,48303,0,0,AVL,3
1,Granit Xhaka,ARS,MID,3,21,3,6,0,2022-08-20T16:30:00Z,0,3,3,87,0,1,1,0,0,0,0,0,0,0,0,25,25.8,34.0,6.0,6.6,1,0.00,0.11,0.11,0.26,50,112040,216726,137326,25286,ARS,4
2,Granit Xhaka,ARS,MID,3,41,2,2,1,2022-08-31T18:30:00Z,2,1,5,90,0,0,0,1,0,0,0,0,0,0,0,14,12.6,25.0,8.0,4.6,1,0.00,0.04,0.04,0.45,50,10781,288460,49435,38654,LEE,3
3,Granit Xhaka,ARS,MID,3,56,14,2,0,2022-09-04T15:30:00Z,3,1,6,90,0,0,0,3,0,0,0,0,0,0,0,18,15.2,14.9,46.0,7.6,1,0.16,0.13,0.29,1.55,50,8776,308627,50721,41945,LIV,4
4,Granit Xhaka,ARS,MID,3,72,4,5,0,2022-09-18T11:00:00Z,0,3,8,90,0,1,1,0,0,0,0,1,0,0,0,24,25.0,36.2,3.0,6.4,1,0.04,0.25,0.29,0.53,50,-3612,302039,11300,14912,NEW,4
5,Granit Xhaka,ARS,MID,3,104,11,3,0,2022-10-16T13:00:00Z,0,1,11,90,0,0,1,0,0,0,0,0,0,0,0,15,8.6,2.8,2.0,1.3,1,0.00,0.02,0.02,1.86,51,-8549,381694,26252,34801,EVE,3
6,Granit Xhaka,ARS,MID,3,127,17,10,0,2022-10-23T13:00:00Z,1,1,13,90,1,0,0,1,0,0,0,0,0,0,3,34,49.0,41.6,34.0,12.5,1,0.29,0.06,0.35,0.67,51,16549,368620,34061,17512,NFO,3
7,Granit Xhaka,ARS,MID,3,142,6,3,0,2022-11-06T12:00:00Z,0,1,15,90,0,0,1,0,0,0,0,0,0,0,0,16,20.4,4.6,22.0,4.7,1,0.07,0.03,0.10,0.29,51,-9632,429403,28099,37731,TOT,3
8,Granit Xhaka,ARS,MID,3,160,20,1,0,2022-11-12T19:45:00Z,0,2,16,15,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,1,0.00,0.00,0.00,0.00,51,-11525,420636,23835,35360,SOU,2
9,Granit Xhaka,ARS,MID,3,201,14,5,1,2023-01-22T16:30:00Z,3,2,21,90,0,1,0,2,0,0,0,0,0,0,0,24,35.2,50.1,10.0,9.5,1,0.00,0.72,0.72,0.33,50,-20825,330216,4547,25372,LIV,4
10,Granit Xhaka,ARS,MID,3,215,8,2,0,2023-02-04T12:30:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,10,4.6,27.1,13.0,4.5,1,0.12,0.08,0.20,1.66,50,-16250,315354,9136,25386,CHE,3
11,Granit Xhaka,ARS,MID,3,221,4,2,1,2023-02-11T15:00:00Z,1,1,23,80,0,0,0,1,0,0,0,0,0,0,0,15,15.4,35.2,10.0,6.1,1,0.02,0.09,0.11,2.23,49,3683,320392,17036,13353,NEW,4
12,Granit Xhaka,ARS,MID,3,111,13,2,1,2023-02-15T19:30:00Z,1,3,23,82,0,0,0,3,0,0,0,0,0,0,0,9,5.0,4.2,6.0,1.5,1,0.05,0.08,0.13,1.71,49,3683,320392,17036,13353,LEI,3
13,Granit Xhaka,ARS,MID,3,231,2,2,0,2023-02-18T12:30:00Z,2,4,24,78,0,0,0,2,0,0,0,0,0,0,0,7,4.2,3.8,8.0,1.6,1,0.06,0.02,0.08,0.40,49,-9378,311777,5007,14385,LEE,3
14,Granit Xhaka,ARS,MID,3,61,8,3,1,2023-03-01T19:45:00Z,4,0,25,71,0,0,1,0,0,0,0,0,0,0,0,14,5.4,5.8,0.0,1.1,1,0.00,0.04,0.04,0.74,49,-1611,307768,12087,13698,CHE,3
15,Granit Xhaka,ARS,MID,3,251,3,1,1,2023-03-04T15:00:00Z,3,2,26,6,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.3,2.0,0.3,0,0.00,0.01,0.01,0.00,49,-11970,299605,2897,14867,ARS,4
16,Granit Xhaka,ARS,MID,3,271,7,9,1,2023-03-19T14:00:00Z,4,1,28,90,1,0,0,1,0,0,0,0,0,0,2,32,43.4,16.7,33.0,9.3,1,0.40,0.06,0.46,0.60,49,-3425,282313,3280,6705,AVL,3
17,Granit Xhaka,ARS,MID,3,281,11,9,1,2023-04-01T14:00:00Z,4,1,29,85,1,0,0,1,0,0,0,0,0,0,2,34,42.2,20.1,19.0,8.1,1,0.15,0.25,0.40,0.78,49,-3591,280203,5394,8985,EVE,3
18,Granit Xhaka,ARS,MID,3,311,17,0,1,2023-04-21T19:00:00Z,3,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,1483,297275,7550,6067,NFO,3
19,Granit Xhaka,ARS,MID,3,329,13,1,0,2023-04-26T19:00:00Z,4,1,33,59,0,0,0,3,0,0,0,0,0,0,0,5,7.2,10.7,9.0,2.7,1,0.02,0.03,0.05,1.85,49,-16389,281705,268,16657,LEI,3
20,Granit Xhaka,ARS,MID,3,331,6,13,1,2023-05-02T19:00:00Z,3,1,34,90,0,3,0,1,0,0,0,0,0,0,2,38,49.8,27.3,57.0,13.4,1,0.73,0.14,0.87,0.74,48,-7865,273501,1563,9428,TOT,3
21,Granit Xhaka,ARS,MID,3,371,20,15,1,2023-05-28T15:30:00Z,5,0,38,74,2,0,1,0,0,0,0,0,0,0,2,45,68.0,2.2,58.0,12.8,1,0.88,0.02,0.90,0.29,48,6814,308140,12778,5964,SOU,2
22,Mohamed Elneny,ARS,FWD,4,1,7,0,0,2022-08-05T19:00:00Z,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,86132,0,0,AVL,3
23,Mohamed Elneny,ARS,FWD,4,21,3,0,0,2022-08-20T16:30:00Z,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,21882,131934,57920,36038,ARS,4
24,Mohamed Elneny,ARS,FWD,4,41,2,0,1,2022-08-31T18:30:00Z,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-9174,110818,10920,20094,LEE,3
25,Mohamed Elneny,ARS,FWD,4,56,14,0,0,2022-09-04T15:30:00Z,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-25515,85016,941,26456,LIV,4
26,Mohamed Elneny,ARS,FWD,4,72,4,0,0,2022-09-18T11:00:00Z,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-6095,81657,1257,7352,NEW,4
27,Mohamed Elneny,ARS,FWD,4,104,11,0,0,2022-10-16T13:00:00Z,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-5619,65729,301,5920,EVE,3
28,Mohamed Elneny,ARS,FWD,4,127,17,0,0,2022-10-23T13:00:00Z,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,43,-2121,60967,211,2332,NFO,3
29,Mohamed Elneny,ARS,FWD,4,142,6,1,0,2022-11-06T12:00:00Z,0,1,15,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,1.5,0.0,0.2,0,0.00,0.00,0.00,0.00,42,5537,71884,11507,5970,TOT,3
30,Mohamed Elneny,ARS,FWD,4,160,20,1,0,2022-11-12T19:45:00Z,0,2,16,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,42,5975,78891,12847,6872,SOU,2
31,Mohamed Elneny,ARS,FWD,4,201,14,0,1,2023-01-22T16:30:00Z,3,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,42,-4490,84202,830,5320,LIV,4
32,Mohamed Elneny,ARS,FWD,4,215,8,0,0,2023-02-04T12:30:00Z,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,41,-2962,82046,6199,9161,CHE,3
33,Mohamed Elneny,ARS,FWD,4,221,4,0,1,2023-02-11T15:00:00Z,1,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,41,-5079,76867,616,5695,NEW,4
