,name,team,position,xP,cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
0,Folarin Balogun,ARS,FWD,1.5,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00
1,Cédric Alves Soares,ARS,DEF,1.5,40,10,223,0,0,0,3,0,0,0,0,0,0,0,56,56.4,51.4,10.0,11.9,2,0.06,0.19,0.25,2.83
2,Mohamed Elneny,ARS,MID,1.5,45,6,111,0,0,0,2,0,0,0,0,0,0,0,27,4.6,5.4,0.0,1.1,1,0.00,0.04,0.04,1.29
3,Fábio Ferreira Vieira,ARS,MID,2.5,55,40,500,1,2,2,5,0,0,0,0,0,0,2,134,116.0,180.6,123.0,41.5,3,0.86,1.39,2.25,5.28
4,Gabriel dos Santos Magalhães,ARS,DEF,2.8,50,146,3409,3,0,14,43,0,0,0,5,0,0,15,723,743.8,131.4,401.0,127.7,38,5.04,0.66,5.70,41.84
5,Kai Havertz,ARS,MID,3.1,75,102,2565,7,1,9,31,0,0,0,5,0,0,13,301,476.4,536.6,1014.0,202.5,30,11.58,2.75,14.33,38.25
6,Rob Holding,ARS,DEF,2.5,45,21,562,1,0,0,13,0,0,0,0,0,0,0,120,152.0,10.3,54.0,21.6,6,0.32,0.15,0.47,11.14
7,Gabriel Fernando de Jesus,ARS,FWD,3.0,80,125,2064,11,7,9,23,0,0,0,6,0,0,17,401,660.6,427.8,1331.0,241.9,24,14.24,2.91,17.15,23.15
8,Jorge Luiz Frello Filho,ARS,MID,2.5,55,79,2127,2,2,9,23,0,0,0,4,0,0,5,379,400.4,261.4,98.0,76.1,24,1.89,0.96,2.85,24.41
9,Jakub Kiwior,ARS,DEF,2.5,45,26,425,1,0,2,6,0,0,0,0,0,0,1,111,98.6,17.9,21.0,13.9,5,0.10,0.01,0.11,6.46
10,Marcus Oliveira Alencar,ARS,MID,1.5,45,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.2,0.0,0.0,0,0.00,0.00,0.00,0.00
11,Gabriel Martinelli Silva,ARS,MID,3.2,80,198,2789,15,9,14,33,0,0,0,3,0,0,18,648,844.2,838.1,1300.0,298.1,34,9.15,6.98,16.13,36.16
